#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
0,11,91001,AMORT DE PRESTAMOS RDL 8/2013,0,0,0,0
0,11,31000,INTERESES DE PRESTAMOS DEUDA PUBLICA.,4846153.16,0,4846153.16,4846153.16
0,11,91000,AMORT DE PRESTAMOS A C/P RDL 4/2012,3392600.79,0,3392600.79,0
0,11,912,AMORTIZACION PRESTAMOS CORTO PLAZO,0,0,0,3392600.79
0,132,12000,SUELDOS GRUPO A1 SEGURIDAD,0,0,0,1109.05
0,132,12001,SUELDOS GRUPO A2 SEGURIDAD,12906.52,0,12906.52,12906.52
0,132,12002,SUELDOS GRUPO B SEGURIDAD,0,0,0,0
0,132,12003,SUELDOS GRUPO C1 SEGURIDAD,39539.36,0,39539.36,40076.7
0,132,12004,SUELDOS GRUPO C2 SEGURIDAD,787586.52,0,787586.52,777282.68
0,132,12005,SUELDOS GRUPO E SEGURIDAD,0,0,0,0
0,132,12006,TRIENIOS FUNC. SEGURIDAD,118723.46,0,118723.46,109655.04
0,132,12100,COMPLEM.DESTINO SEGURIDAD,503500.2,0,503500.2,608392.68
0,132,12101,COMPLEM. ESPECIFICO SEGURIDAD,1471793.82,0,1471793.82,1351035.01
0,132,12103,OTROS COMPLEM.FUNC. SEGURIDAD,160000,0,160000,139542.6
0,132,122,RETRIB.ESPECIE SEGURIDAD,360,0,360,480
0,132,13000,R.B. L.F. SEGURIDAD,224576.85,15851.3,240428.15,220123.73
0,132,13001,HORAS EXTRAS L.F. SEGURIDAD,0,0,0,0
0,132,13002,O.R. L.F. SEGURIDAD,4692,0,4692,5518.87
0,132,15000,PRODUCT. FUNC.SEGURIDAD,512400.72,0,512400.72,461369.06
0,132,15100,GRATIFICACIONES F. SEGURIDAD,40000,0,40000,0
0,132,15101,GRATIFICACIONES L.F. SEGURIDA,0,0,0,0
0,132,15300,DEDICACION FUNC. SEGURIDAD,0,0,0,0
0,132,15301,DEDICACION LAB. SEGURIDAD,0,0,0,0
0,132,204,ARRENDA.MAT. TRANSPORTE SEGURIDAD,10000,0,10000,9019.92
0,132,212,EDIF. Y OTRAS CONSTRUCC. SEGURIDAD,3000,0,3000,0
0,132,213,MAQ.INST. Y UTI. SEGURIDAD,10000,0,10000,1338.04
0,132,214,ELEMENTOS DE TRANSPORTE SEGURIDAD,2000,0,2000,82.1
0,132,215,MOBILIARIO SEGURIDAD,2000,0,2000,64
0,132,22000,MAT.  OFICINA SEGURIDAD,3000,0,3000,0
0,132,22001,PRENSA LI. Y O. PUBLI. SEGURIDAD,600,0,600,0
0,132,22002,MAT.INFOR.NO INVENTARIABLE SEGURIDAD,1000,0,1000,0
0,132,22003,MAT. TEC. ESPE. NO INVENTARIABLE SEGURIDAD,9000,0,9000,3597.47
0,132,22100,ENERGIA ELECTRICA SEGURIDAD,106009.46,0,106009.46,125265.76
0,132,22101,AGUA SEGURIDAD,3071.68,0,3071.68,1314.47
0,132,22102,GAS SEGURIDAD,5803.5,0,5803.5,7478.65
0,132,22104,VESTUARIO SEGURIDAD,36300,0,36300,24199.09
0,132,22105,PRODUCTOS ALIMENTICIOS,0,0,0,0
0,132,225,TRIBUTOS  SEGURIDAD,0,0,0,945.2
0,132,22601,ATENC. PROTO Y REPRE. SEGURIDAD,8000,0,8000,900.35
0,132,22606,"REUNIONES, CONFERENCIAS Y CURSOS SEGURIDAD",1500,0,1500,0
0,132,22701,SEGURIDAD SEGURIDAD,50000,0,50000,8688.77
