#Fecha,Importe,Orgánica,Aplicación,Económica,Tercero,Nombre Ter.,Texto Libre
2012-03-06,2743.9,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,INTERESES PERIODO 05/12/2011 A 05/03/2012
2012-01-30,8983.14,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,INTERESES RECIBO 14 PERIODO 24/12/2011 A 24/01/2012
2012-02-27,8608.67,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,INTERESES RECIBO 15 PERIODO 24/01/2012 A 24/02/2012
2012-03-29,8413.79,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,INTERESES RECIBO 16 PERIODO 24/02/2012 A 24/03/2012
2012-01-24,17069.73,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,INTERESES RECIBO 10/24 PERIODO 25/10/2011 A 24/01/2012
2012-02-23,803.4,0,11,31000,G08169815,CAIXA CATALUÑA,INTERESES RECIBO 52 PERIODO DEL 24/11/11 A 23/02/12
2012-01-01,5713.81,0,11,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,LIQUIDACION CUENTA CREDITO 27/12 A 31/12
2012-01-10,10250.01,0,11,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,LIQUIDACION CUENTA CREDITO PERIODO 01/01/2012 10/01/2012
2012-03-31,36444.08,0,11,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,LIQUIDACION CUENTA CREDITO PERIODO 10/01/2012 A 31/03/2012
2012-03-31,13659.52,0,11,31000,A08000143,BANCO DE SABADELL SA,INTERESES PERIODO 31/12/2011 A 31/032012
2012-03-30,26456.78,0,11,31000,G24219891,CAJA ESPAÑA DE INVERSIONES,INTERESES PERIODO 31/12/2011 A 30/03/2012
2012-04-24,14346.81,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,INTERESES PERIODO LIQUIDACION 25/01/2012 A 25/04/2012
2012-03-29,46711.36,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,LIQUIDACIÓN INTERESES O.T.0 2012 BANKIA. DEL 01/12/11 AL 29/03/12.
2012-04-30,8218.42,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,INTERESES RECIBO 17 PRESTAMO 11672229/48 PERIODO 24/03/2012 A 24/04/2012
2012-05-28,8022.58,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,INTERESES RECIBO 18 PRESTAMO 11672229/48 PERIODO 24/04/2012 A 24/05/2012
2012-05-23,525.89,0,11,31000,A65587198,CATALUNYA BANC SA,INTERESES RECIBO 53 PERIODO 24/02/2012 A 23/05/2012
2012-06-21,150310.08,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,APLICACIÓN A PRESUP.CUOTA AMORTIZACIÓN CAPITAL PRÉSTAMO NÚM.9519401272 DEL 01/10/11 AL 31/12/11. VENCIMIENTO 48/73.
2012-06-21,119599.46,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,APLICACIÓN A PRESUP.CUOTA AMORTIZACIÓN CAPITAL PRÉSTAMO NÚM.9546055642 DEL 25/01/12 AL 24/04/12.
2012-06-21,80207.94,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,APLICACIÓN A PRESUPUESTO AMORTIZACIÓN CAPITAL RECIBO 17 PERÍODO 24/03/12 A 24/04/12 PRÉSTAMO 11672229/48.
2012-06-21,80403.78,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,APLICACIÓN A PRESUPUESTO AMORTIZACIÓN CAPITAL RECIBO 18 PERÍODO 24/04/12 A 24/05/12 PRÉSTAMO 11672229/48.
2012-07-24,121258.2,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION CAPITAL PERIODO 25/04/2012 A 24/07/2012 RECIBO 12/24
2012-07-24,11831.78,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,INTERESES PERIODO 25/04/2012 A 24/07/2012 RECIBO 12/24
2012-08-23,23115.85,0,11,912,A65587198,CATALUNYA BANC SA,AMORTIZACION CAPITAL RECIBO 54 PERIODO 24/05/2012 A 23/08/2012
