#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
0,11,91200,AMORTIZA.PRESTAMO A C/P DE ENTES DE FUERA DEL SECTOR PUBLICO,3078061.78,0,3078061.78,3099388.19
0,11,31000,INTERESES DE PRESTAMOS DEUDA PUBLICA.,4580964.33,0,4580964.33,4580964.32
0,11,31100,"GASTOS DE FORMALIZACION, MODIFICACION Y CANCELACION",0,0,0,0
0,11,91000,AMORT DE PRESTAMOS A C/P RDL 4/2012,4360427.06,-2076279.58,2284147.48,0
0,11,91001,AMORT DE PRESTAMOS A C/P DE ENTES DEL SECTOR PUBLICO,0,0,0,0
0,11,912,AMORTIZACION PRESTAMOS CORTO PLAZO,0,0,0,0
0,132,15000,PRODUCT. FUNC.SEGURIDAD,502399.56,0,502399.56,463099.12
0,132,15301,DEDICACION LAB. SEGURIDAD,0,0,0,0
0,132,20400,ARRENDA.  MATERIAL DE TRANSPORTE SEGURIDAD,20000,0,20000,7215.94
0,132,22500,TRIBUTOS ESTATALES SEGURIDAD,1500,0,1500,669.52
0,132,62200,INV. NUEVA ASOC. SEGURIDAD (GALERIA TIRO),0,190432.12,190432.12,190432.12
0,132,12000,SUELDOS GRUPO A1 SEGURIDAD,0,0,0,0
0,132,12001,SUELDOS GRUPO A2 SEGURIDAD,12906.52,0,12906.52,12906.52
0,132,12002,SUELDOS GRUPO B SEGURIDAD,0,0,0,0
0,132,12003,SUELDOS GRUPO C1 SEGURIDAD,39539.36,0,39539.36,32427.77
0,132,12004,SUELDOS GRUPO C2 SEGURIDAD,787586.52,0,787586.52,755602.75
0,132,12005,SUELDOS GRUPO E SEGURIDAD,0,0,0,0
0,132,12006,TRIENIOS FUNC. SEGURIDAD,125351.56,0,125351.56,114632.1
0,132,12100,COMPLEM.DESTINO SEGURIDAD,503500.2,0,503500.2,521444.96
0,132,12101,COMPLEM. ESPECIFICO SEGURIDAD,1466524.22,0,1466524.22,1354396.58
0,132,12103,OTROS COMPLEM.FUNC. SEGURIDAD,130132.92,0,130132.92,134029.87
0,132,12200,RETRIBUCIONES EN ESPECIE SEGURIDAD,439,0,439,510
0,132,13000,R.B. L.F. SEGURIDAD,226110.54,-25012.49,201098.05,183172.96
0,132,13001,HORAS EXTRAS L.F. SEGURIDAD,0,0,0,0
0,132,13002,O.R. L.F. SEGURIDAD,4692,0,4692,9041.4
0,132,15100,GRATIFICACIONES F. SEGURIDAD,0,0,0,0
0,132,15101,GRATIFICACIONES L.F. SEGURIDA,0,0,0,0
0,132,15300,DEDICACION FUNC. SEGURIDAD,0,0,0,0
0,132,21200,EDIFI.  Y OTRAS  CONSTRUCC.  SEGURIDAD,2000,0,2000,3471.07
0,132,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA. SEGURIDAD",3000,0,3000,2570.06
0,132,21400,ELEMENTOS DE TRANSPORTE SEGURUDAD,2000,0,2000,235.82
0,132,21500,MOBILIARIO SEGURIDAD,2000,0,2000,1.2
0,132,22000,MAT.  OFICINA SEGURIDAD,500,0,500,0
0,132,22001,PRENSA LI. Y O. PUBLI. SEGURIDAD,0,0,0,0
0,132,22002,MAT.INFOR.NO INVENTARIABLE SEGURIDAD,500,0,500,0
0,132,22003,MAT. TEC. ESPE. NO INVENTARIABLE SEGURIDAD,9000,0,9000,6972.98
0,132,22100,ENERGIA ELECTRICA SEGURIDAD,0,0,0,0
0,132,22101,AGUA SEGURIDAD,2000,0,2000,993.15
0,132,22102,GAS SEGURIDAD,0,0,0,0
0,132,22104,VESTUARIO SEGURIDAD,48500,0,48500,47277.12
0,132,22105,PRODUCTOS ALIMENTICIOS,0,0,0,0
0,132,22601,ATENC. PROTO Y REPRE. SEGURIDAD,3000,0,3000,760.1
0,132,22606,"REUNIONES, CONFERENCIAS Y CURSOS SEGURIDAD",6000,0,6000,0
0,132,22701,SEGURIDAD SEGURIDAD,12000,0,12000,10727.25
0,132,22706,ESTUD. Y TRABA. TECN. SEGURIDAD,5000,0,5000,822.8
0,132,23010,DIETAS DEL PERSONAL DIRECTIVO SEGURIDAD,500,0,500,0
0,132,23020,DEL PERSONAL SEGURIDAD,500,0,500,0
0,132,23120,DEL PERSONAL NO DIRECTIVO,0,0,0,0
0,132,240,GASTOS DE EDICION Y DISTRIBUCION SEGURIDAD,0,0,0,0
0,132,481,PREMIOS BECAS Y PENS.DE ESTU. SEGURIDAD,0,0,0,0
0,132,62300,MAQ. INSTAL.UTIL. SEGURIDAD,0,11329.46,11329.46,0
0,132,62400,ELEMENTOS DE TRANSPORTE SEGURIDAD,24000,0,24000,0
0,133,21000,INFRAES. Y BIENES NATURALES ORDENAC. TRAFI Y ESTACIONAMIENTO,313303.23,0,313303.23,154286.59
0,133,13000,R.B.L.F. ORDENACION DEL TRAFICO Y DEL ESTACIONAMIENTO,97426.58,0,97426.58,97165.06
0,133,13001,HORAS EXTRAS ORDENCION DEL TRAFICO Y DEL ESTACIONAMIENTO,7346.24,0,7346.24,7033.6
0,133,13002,O.R. L.F ORDENACION DEL TRAFICO Y DEL ESTACIONAMIENTO,10040.64,0,10040.64,8426.7
0,133,131,LABORAL TEMPORAL ORDENACION DEL TRAFICO Y DEL ESTACIONAMIENT,0,0,0,0
0,133,22199,OTROS SUMINISTROS ORDENACION DEL TRAFICO Y ESTACIONAMIENTO,0,0,0,0
0,133,22601,ATENC. PROTO Y REPRESENT. ORDENACION DEL TRAFICO Y ESTACIONA,0,0,0,0
0,133,22706,ESTUDIOS Y TRABAJOS TECNICOS SER,174186,0,174186,148807.68
0,133,62302,INSTALACION CAMARAS VIGILANCIA TRAFICO (P5000),0,0,0,0
0,133,62303,ADECUAC.SALA CONTROL MOVILIDAD TRAFICO (P5000),0,0,0,0
0,134,22400,PRIMAS DE SEGUROS PROTECCION CIVIL,5000,0,5000,2874.05
0,134,22003,MAT.TEC.ESPE.NO. INVENTA.PROTECCION CIVIL.,1000,0,1000,19.49
0,134,22104,VESTUARIO PROTECCION CIVIL,9000,0,9000,2879.8
0,134,22105,PRODUCTOS ALIMENTICIOS PROTECCION CIVIL,2000,0,2000,548.27
0,134,22111,SUMIN. DE REPUES. DE MAQ. UTI. ELEM. TPTE. PROTECCION CIVIL,2000,0,2000,0
0,134,22112,"SUMIN. DE MAT., ELECTRO., ELECT. Y DE TELEC.. PROTEC. CIVIL",1000,0,1000,228.21
0,134,22500,TRIBUTOS ESTATALES PROTECCION CIVIL,0,0,0,0
0,134,22601,ATENCIONES PROTOCOLARIAS Y PRESENTATIVAS,0,0,0,0
0,134,22699,OTROS GASTOS DIVERSOS,1000,0,1000,0
0,134,23020,DEL PERSONAL NO DIRECTIVO,0,0,0,0
0,134,23120,DEL PERSONAL NO DIRECTIVO,0,0,0,0
0,135,21200,EDIFI.  Y OTRAS  CONSTRUCC. SERV. EXTINC. INCENDIOS,0,14339.28,14339.28,14339.27
0,135,22501,TRIBUTOS CAM SERVICIO DE EXTINCION DE INCENDIOS,2054488.81,0,2054488.81,1679681.1
0,135,35200,INTERESES DE DEMORA SERVICO DE EXTINCION DE INCENDIOS,306486.28,0,306486.28,290728.4
0,151,15000,PRODUCT. FUNC. URBANISMO,54508.32,0,54508.32,38870.17
0,151,15301,DEDICACION LAB. URBANISMO,6840,0,6840,6840
0,151,62300,INVERS. NUEV. ASOC. A MAQ.INSTA Y UTILLA. URBANISMO,0,12820.1,12820.1,0
0,151,79001,APORTA.CUOTAS URBANIZACION LA PELUQUERA,0,1251885.71,1251885.71,1251885.71
0,151,12000,SUELDOS GRUPO A1 URBANISMO,44031.96,0,44031.96,43700.2
0,151,12001,SUELDOS GRUPO A2 URBANISMO,0,0,0,0
0,151,12002,SUELDOS GRUPO B URBANISMO,0,0,0,0
0,151,12003,SUELDOS GRUPO C1 URBANISMO,9884.84,0,9884.84,9884.84
0,151,12004,SUELDOS GRUPO C2 URBANISMO,8378.58,0,8378.58,8378.58
0,151,12005,SUELDOS GRUPO E URBANISMO,0,0,0,0
0,151,12006,TRIENIOS FUNC. URBANISMO,15595.9,0,15595.9,15054.79
0,151,12100,COMPLEM. DESTINO URBANISMO,43507.66,0,43507.66,45794.93
0,151,12101,COMPLEM. ESPEDIFICO URBANISMO,50565.06,0,50565.06,48725.98
0,151,12103,OTROS COMPLEM. FUNC. URBANISMO,0,0,0,0
0,151,13000,R.B. L.F. URBANISMO,887678.13,0,887678.13,860824.5
0,151,13001,HORAS EXTRAS L.F. URBANISMO,0,0,0,615.88
0,151,13002,O.R. L.F. URBANISMO,73186.2,0,73186.2,91490.96
0,151,131,R.L. T. URBANISMO,0,0,0,0
0,151,15001,PRODUCTIVIDAD LABORALES URBANISMO,35020.8,0,35020.8,34506.02
0,151,15100,GRATIFICACIONES F. URBANISMO,0,0,0,0
0,151,15101,GRATIFICACIONES L.F. URBANISMO,0,0,0,0
0,151,20200,ARRENDA.  DE EDIFI. Y OTRAS CONSTRUCC. URBANISMO,50000,0,50000,74020.07
0,151,203,ARRENDA.MAQ.INSTA.UTILL. URBANISMO,0,0,0,0
0,151,205,ARRENDAMIENTOS DE MOBILIARIO Y ENSERES,0,0,0,0
0,151,209,CANON PARKING DISUASORIO,0,0,0,0
0,151,21200,EDIFI.  Y OTRAS  CONSTRUCC.  URBANISMO,20000,0,20000,17734.51
0,151,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA. URBANISMO",1000,0,1000,11943.1
0,151,21500,MOBILIARIO URBANISMO,300,0,300,0
0,151,22001,"PRENSA, LIB.Y OTR.PUBL.URBANISMO",2000,0,2000,61.36
0,151,22003,MAT.TEC.ESP.NO.INV.URBANISMO,1000,0,1000,407.19
0,151,22101,AGUA URBANISMO,244000,0,244000,239892.99
0,151,22102,GAS URBANISMO,0,0,0,0
0,151,22500,TRIBUTOS ESTATALES URBANISMO,1000,0,1000,0
0,151,22601,ATENC.PROTO.Y REPRESEN. URBANISMO,1000,0,1000,560.8
0,151,22602,PUBLICIDAD Y PROPAGANDA URBANISMO,0,0,0,0
0,151,22603,PUBLICACIONES EN DIARIOS OFICIALES URBANISMO,30000,-12000,18000,17689.59
0,151,22604,JURIDICOS URBANISMO,5000,0,5000,2803.38
0,151,22606,"REUNIONES, CONFERENCIAS Y CURSOS URBANISMO",0,0,0,0
0,151,22611,ANUNCIOS EN PERIODICOS  URBANISMO,5000,-820.1,4179.9,1016.4
0,151,22699,OTROS GASTOS DIVERSOS,1000,0,1000,53.4
