#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
11200,IMPUESTO SOBRE BIENES INMUEBLES.  NAT RUSTICA,70000,0,70000,46112.2
11300,IMPTO SOBRE BIENES INMUEBLES DE NAT URBANA,17779161.25,0,17779161.25,19393839.09
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,3600000,0,3600000,3486272.61
11600,INSPECCION PLUS VALIAS,55000,0,55000,448.89
11601,IMPUESTO SOBRE INCREM DEL VALOR DE LOS TERRN DE NAT URBANA,1000000,0,1000000,3613076.51
13000,INSPECCION I.A.E.,350000,0,350000,387598.51
13001,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2500000,0,2500000,1812515.49
29000,IMPTO.S/CONSTRUCCIONES Y OBRAS,936896.12,0,936896.12,870411.73
29001,INSPECCION I.C.I.O.,107320.04,0,107320.04,38232.5
30100,TASA POR DEPURACION DE AGUAS,358177.41,0,358177.41,14871.51
30200,TASA SERVICIO INTEGRAL RESIDUOS Y P.VERDE,3550000,0,3550000,3334252.56
30500,SERVICIOS FUNERARIOS,0,0,0,90
31100,TASA SERVICIO AMBULANCIA MUNICIPAL,30000,0,30000,34286.04
31108,SERVICIO DE AYUDA A DOMICILIO,41941.8,0,41941.8,14484.1
31301,TASA POR DERECHOS DE FUTBOL,45000,0,45000,16311.4
31304,INSTALACIONES DEPORTIVAS,251000,0,251000,182040.86
31407,TASA SERVICIO SANITARIO DE PERRERA MUNICIPAL,9500,0,9500,10049.83
32100,LICENCIAS URBANISTICAS,200000,0,200000,310338.02
32104,LICENCIA APERTURA ESTABLECIMIENTOS,300000,0,300000,511764.02
32105,"INSPECCION L.URB.,APERTURA Y OCUPACION",0,0,0,0
32106,TASA POR INSPECCION TECNICA DE DIFICIOS,28409.76,0,28409.76,758.5
32200,LICENCIAS PRIMERA OCUPACION,30000,0,30000,2716.37
32300,INSPECCION TECNICA LICENCIA DE APERTURA,25000,0,25000,7363.25
32500,EXPEDICION DE DOCUMENTOS,35000,0,35000,25774.72
32501,LICENCIAS AUTOTAXIS Y VEHICULOS ALQUILER,0,0,0,0
32502,TASA POR EXPEDICION Y RENOVACION TARJETAS TRANSPORTE,40000,0,40000,4624
32509,TASA POR DERECHOS DE EXAMEN,0,0,0,0
32600,RETIRADA VEHICULOS VIA PUBLICA (GRUA),45065,0,45065,34508
32700,TASA PRE. SERVI. BODAS.,38000,0,38000,25240.52
32901,PLAC.PATEN.DISTIN.UTILIZ.ESCUDO ENTIDAD,5000,0,5000,2500.99
33001,APARCAMIENTO DE CAMIONES,80000,0,80000,76617.56
33002,PARKING MUNICIPAL,34847.31,0,34847.31,38606.69
33003,TASA POR ESTACIONAMIENTO ZONA SER,0,0,0,438.03
33101,ENTR.VEHIC.EN EDIF.Y RES.APAR.EXCLUSIVO,690000,0,690000,658745.3
33203,TASA EMPRESAS EXPLT. DE SUMINISTROS INTERES GENERAL,1000000,0,1000000,1035784.88
33300,TASA EMPRESAS EXPLT. DE SER. TELECOMUNICACIONES,29536.43,0,29536.43,0
33402,CALICATAS Y ZANJAS EN LA VIA PUBLICA.,29566.69,0,29566.69,16472.82
33500,"OCUPACION VIA PUBLICA CON MESAS,SILLAS ETC.",100000,0,100000,53374.17
33501,QUIOSCOS Y CRISTALES EN LA VIA PUBLICA,20000,0,20000,44821.67
33502,TASA POR BARRACAS Y PUESTOS FERIANTES,33000,0,33000,57827.04
33601,OCUPACION DE LA VIA PUBLICA CON MERCANCIA,7000,0,7000,4091.17
33602,TASA POR MERCADILLOS AMBULANTES,45000,0,45000,40914.08
33603,OCUPACION VIA PUBLICA CONTENEDORES,10000,0,10000,12143.58
33604,OTRAS OCUPACIONES,7000,0,7000,1591.8
33800,COMPENSACION DE TELEFONICA DE ESPAÑA S.A.,212000,0,212000,241274.35
33900,VALL.ANDA.ESC.OTR.MAT.CONST.EN VIA PUBLICA.,1000,0,1000,11220.41
33901,OCUPACION CEMENTERIO,0,0,0,646.49
33904,TASA POR APROV.ESPECIAL CAJEROS AUTOMATICOS,10000,0,10000,7161.3
33905,TASA POR OTRAS OCUPACIONES,16000,0,16000,14688.55
34201,ESCUELA DE MUSICA,400000,0,400000,353986.19
34202,CURSOS Y ACTIVIDADES EDUCACION,115287.68,0,115287.68,852.56
34300,CURSOS Y ACTIVIDADES DEPORTIVAS,400000,0,400000,271011.12
34404,FESTEJOS TAURINOS,90000,0,90000,0
34600,ACTIVIDADES CULTURALES,50300,0,50300,35516
34707,CURSOS Y ACTIVIDADES PARTICIPACION CIUDADANA,291561,0,291561,224209.25
34808,CURSOS Y ACTIVIDADES JUVENTUD,6404.73,0,6404.73,325.36
34900,OTROS CURSOS Y ACTIVIDADES,2693.9,0,2693.9,0
34901,PRECIOS PUBLICOS BOLETIN MUNICIPAL,40000,0,40000,82369.18
34902,OTROS PRECIOS PUBLICOS,280,0,280,556
36000,VENTA DE MONOMATERIALES,296288.92,0,296288.92,280446.33
36001,VENTA DE IMPRESOS,0,0,0,0
36002,VENTA MATERIAL DE DESECHOS,6770,0,6770,3765
36003,VENTA DE ENERGIA,4195.08,0,4195.08,658.27
38000,REINTEGROS DE AVALES,0,0,0,0
38900,REINTEGROS PRESUPUESTOS CERRADOS,28000,0,28000,69236.91
39000,OTROS INGRESOS,117314.78,0,117314.78,49847.44
39110,SANCIONES TRIBUTARIAS,71360,0,71360,33985.03
39120,MULTAS DE TRAFICO,721976.75,0,721976.75,32355.52
39121,MULTAS S.E.R.,150000,0,150000,401230.42
39190,MULTAS DE CONVIVENCIA CIUDADANA,200000,0,200000,133202.13
39191,OTRAS MULTAS Y SANCIONES,0,0,0,150
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQ.PREVIO,5885.67,0,5885.67,29055.48
39210,RECARGO EJECUTIVO,15449.49,0,15449.49,69274.12
39211,RECARGOS DE APREMIOS,550000,0,550000,493277.67
39300,INTERESES DE DEMORA,250000,0,250000,259530.36
39710,OTROS INGRESOS POR MONETARIZACIONES URBANISTICAS,0,0,0,0
39800,INDEMNIZACIONES SEGUROS,18945.07,2100,21045.07,60610.75
39801,INDEMNIZACIONES JUZGADOS,2205.27,0,2205.27,2134.45
39902,COMUNIDAD AGUA Y OTROS PISOS ALQUILER,21470.7,0,21470.7,11455.49
39903,ANUNCIOS A CARGO DE PARTICULARES,65380.58,0,65380.58,18284.09
39904,IMPORTE OBRAS E INST.A C/PARTICULARES,60000,0,60000,0
39906,INDETERMINADOS,10000,0,10000,0
39907,IMPREVISTOS,21336.92,0,21336.92,15276.72
39908,APROVECHAMIENTOS URBANISTICOS,0,0,0,0
39912,CUOTAS MANTENIMIENTO ESCUELAS INFANTILES,116737.15,0,116737.15,49991.03
39916,INGRESOS PROCEDENTES COLABORACION ALUMNOS EN PRACTICAS,13233.6,0,13233.6,0
42000,PARTICIPACION EN TRIBUTOS DEL ESTADO,19915324.5,0,19915324.5,14297255.24
42001,DE LA ADMINISTRACION GENERAL DEL ESTADO,6320,0,6320,0
42090,OTRAS TRANSFERENCIAS CORRIENTES,714.34,0,714.34,811.99
42190,IMSERSO,0,0,0,0
42390,TRANSF. DE SOCIEDADES MERCANTILES ESTATALES Y PUBLICAS,0,0,0,0
45000,DE LA ADMON. GENERAL DE LA COMUNIDAD DE MADRID,1118710,8248.98,1126958.98,1130404.48
45002,TRANS.CTES.CUMPLIMIENTO DE CONV.SERV.SOC.Y POL.DE IGUALDAD,3409309.68,0,3409309.68,3278916.19
45030,TRANS.CTES.CUMPLIMIENTO DE CONV.EN MATERIA DE EDUCACION,560000,0,560000,377814.58
45050,DEL INEM (DE LA COMUNIDAD DE MADRID),62287.2,41760,104047.2,430907.11
45060,TRANSFE. CORRIEN. PRISMA,2230936.75,0,2230936.75,0
45100,CONSORCIO REGIONAL DE TRANSPORTES,0,0,0,0
46100,TRANSFERENCIA DE AYTOS,0,0,0,0
47000,DE EMPRESAS PRIVADAS,3299364,0,3299364,2361
48000,DE FAMILIAS E INSTITUCIONES S/ ANIMO LUCRO,0,1500,1500,1500
49000,DEL FONDO SOCIAL EUROPEO,125839,0,125839,0
49700,OTRAS TRANSFERENCIAS DE LA UNION EUROPEA,0,18760,18760,0
51800,INTERESES PRESTAMO PERSONAL,508.31,0,508.31,0
52000,INTERESES EN CTAS.BANCOS Y CAJAS DE AHORRO,8000,0,8000,344.68
53400,DE SOC. Y ENTIDADES DEPENDIENTES DE LAS ENTIDADES LOCALES,313665.16,0,313665.16,411294.85
53410,DE SOC. Y ESTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES,0,0,0,0
54100,ARRENDAMIENTOS DE FINCAS URBANAS,550000,0,550000,388182.58
54200,ARRENDAMIENTOS DE FINCAS RUSTICAS,10000,0,10000,0
55000,CONCESIONES ADMINISTRATIVAS,539031.66,0,539031.66,36729.8
55100,CANON SOBRE BENEFICIOS,0,0,0,2737.75
55400,PRODUCTOS DE EXPLOTACIONES FORESTALES,0,0,0,0
55410,FONDO DE MEJORA DE MONTES,0,0,0,0
60100,VENTA DE FINCAS RUSTICAS,0,0,0,0
60300,PATRIMONIO PUBLICO DEL SUELO,2616368.83,0,2616368.83,0
60900,OTROS TERRENOS,0,0,0,0
61900,ENAJENACIONES PLAZAS DE GARAJES MPLES,0,0,0,0
61901,ENAJENACIONES  DE VIVIENDAS Y LOCALES,0,0,0,0
75000,DE LA ADMINISTRACION GENERAL DE LA COMUNIDAD AUTONOMA,0,3793.93,3793.93,3793.93
87000,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0,0,0,0
87010,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0,410896.64,410896.64,0
91101,PRESTAMOS RDL 4/2012,0,0,0,0
91100,PRÉSTAMOS,0,0,0,0
91301,A MEDIO Y LARGO PLAZO,0,0,0,0
