#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
0,11,31000,INTERESES DE PRESTAMOS DEUDA PUBLICA.,4580964.33,-3661507.00,919457.33,852706.3
0,11,31100,"GASTOS DE FORMALIZACION, MODIFICACION Y CANCELACION",0.00,0.00,0.00,0.00
0,11,91000,AMORT DE PRESTAMOS A C/P,4360427.06,0.00,4360427.06,0.00
0,11,91100,AMORT DE PRESTAMOS A L/P DE ENTES DEL SECTOR PUBLICO,0.00,400000.00,400000.00,7135276.47
0,11,91200,AMORTIZA.PRESTAMO A C/P DE ENTES DE FUERA DEL SECTOR PUBLICO,3078061.78,0.00,3078061.78,0.00
0,11,91300,AMORT DE PREST A L/P DE ENTES DE FUERA DEL SECTOR PUBLICO,0.00,0.00,0.00,689677.3
0,130,12000,SUELDOS GRUPO A1 SEGURIDAD,0.00,0.00,0.00,0.00
0,130,12001,SUELDOS GRUPO A2 SEGURIDAD,12906.52,0.00,12906.52,13551.54
0,130,12002,SUELDOS GRUPO B SEGURIDAD,0.00,0.00,0.00,0.00
0,130,12003,SUELDOS GRUPO C1 SEGURIDAD,39539.36,0.00,39539.36,31237.68
0,130,12004,SUELDOS GRUPO C2 SEGURIDAD,787586.52,0.00,787586.52,779550.4
0,130,12005,SUELDOS GRUPO E SEGURIDAD,0.00,0.00,0.00,0.00
0,130,12006,TRIENIOS FUNC. SEGURIDAD,125351.56,0.00,125351.56,137953.78
0,130,12100,COMPLEM.DESTINO SEGURIDAD,503500.2,0.00,503500.2,490582.95
0,130,12101,COMPLEM. ESPECIFICO SEGURIDAD,1466524.22,0.00,1466524.22,1428659.83
0,130,12103,OTROS COMPLEM.FUNC. SEGURIDAD,130132.92,-21000.00,109132.92,101200.13
0,130,12200,RETRIBUCIONES EN ESPECIE SEGURIDAD,439.00,0.00,439.00,0.00
0,130,13000,R.B. L.F. SEGURIDAD,226110.54,0.00,226110.54,152927.5
0,130,13001,HORAS EXTRAS L.F. SEGURIDAD,0.00,0.00,0.00,0.00
0,130,13002,O.R. L.F. SEGURIDAD,4692.00,0.00,4692.00,4692.00
0,130,15000,PRODUCT. FUNC.SEGURIDAD,502399.56,0.00,502399.56,472342.94
0,130,15100,GRATIFICACIONES F. SEGURIDAD,0.00,0.00,0.00,0.00
0,130,15101,GRATIFICACIONES L.F. SEGURIDA,0.00,0.00,0.00,0.00
0,130,15300,DEDICACION FUNC. SEGURIDAD,0.00,0.00,0.00,0.00
0,130,15301,DEDICACION LAB. SEGURIDAD,0.00,0.00,0.00,0.00
0,130,20400,ARRENDA.  MATERIAL DE TRANSPORTE SEGURIDAD,20000.00,-12000.00,8000.00,0.00
0,130,21200,EDIFI.  Y OTRAS  CONSTRUCC.  SEGURIDAD,2000.00,0.00,2000.00,0.00
0,130,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA. SEGURIDAD",3000.00,0.00,3000.00,944.84
0,130,21400,ELEMENTOS DE TRANSPORTE SEGURUDAD,2000.00,0.00,2000.00,42.98
0,130,21500,MOBILIARIO SEGURIDAD,2000.00,0.00,2000.00,627.28
0,130,22000,MAT.  OFICINA SEGURIDAD,500.00,0.00,500.00,0.00
0,130,22001,PRENSA LI. Y O. PUBLI. SEGURIDAD,0.00,0.00,0.00,0.00
0,130,22002,MAT.INFOR.NO INVENTARIABLE SEGURIDAD,500.00,0.00,500.00,0.00
0,130,22003,MAT. TEC. ESPE. NO INVENTARIABLE SEGURIDAD,9000.00,0.00,9000.00,3.82
0,130,22100,ENERGIA ELECTRICA SEGURIDAD,0.00,0.00,0.00,0.00
0,130,22101,AGUA SEGURIDAD,2000.00,0.00,2000.00,3590.62
0,130,22102,GAS SEGURIDAD,0.00,0.00,0.00,6279.15
0,130,22104,VESTUARIO SEGURIDAD,48500.00,0.00,48500.00,48461.85
0,130,22105,PRODUCTOS ALIMENTICIOS,0.00,0.00,0.00,0.00
0,130,22199,OTROS SUMINISTROS SEGURIDAD,0.00,0.00,0.00,0.00
0,130,22500,TRIBUTOS ESTATALES SEGURIDAD,1500.00,0.00,1500.00,488.98
