#Económica,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
11200,IMPUESTO SOBRE BIENES INMUEBLES.  NAT RUSTICA,70000.00,0.00,70000.00,47232.97
11300,IMPTO SOBRE BIENES INMUEBLES DE NAT URBANA,17779161.25,0.00,17779161.25,19736990.37
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,3600000.00,0.00,3600000.00,3410583.57
11600,INSPECCION PLUS VALIAS,55000.00,0.00,55000.00,0.00
11601,IMPUESTO SOBRE INCREM DEL VALOR DE LOS TERRN DE NAT URBANA,1000000.00,0.00,1000000.00,2232015.52
13000,INSPECCION I.A.E.,350000.00,0.00,350000.00,-18806.82
13001,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2500000.00,0.00,2500000.00,1954412.14
22009,EXACCION SOBRE LA GASOLINA,0.00,0.00,0.00,0.00
29000,IMPTO.S/CONSTRUCCIONES Y OBRAS,936896.12,0.00,936896.12,1733612.06
29001,INSPECCION I.C.I.O.,107320.04,0.00,107320.04,35811.63
30100,TASA POR DEPURACION DE AGUAS,358177.41,0.00,358177.41,23402.01
30200,TASA SERVICIO INTEGRAL RESIDUOS Y P.VERDE,3550000.00,0.00,3550000.00,2792658.34
30500,SERVICIOS FUNERARIOS,0.00,0.00,0.00,0.00
31100,TASA SERVICIO AMBULANCIA MUNICIPAL,30000.00,0.00,30000.00,25068.27
31108,SERVICIO DE AYUDA A DOMICILIO,41941.80,0.00,41941.80,12315.75
31301,TASA POR DERECHOS DE FUTBOL,45000.00,0.00,45000.00,217.80
31304,INSTALACIONES DEPORTIVAS,251000.00,0.00,251000.00,261524.10
31407,TASA SERVICIO SANITARIO DE PERRERA MUNICIPAL,9500.00,0.00,9500.00,6698.63
32100,LICENCIAS URBANISTICAS,200000.00,0.00,200000.00,451747.18
32104,LICENCIA APERTURA ESTABLECIMIENTOS,300000.00,0.00,300000.00,446153.50
32105,"INSPECCION L.URB.,APERTURA Y OCUPACION",0.00,0.00,0.00,98.92
32106,TASA POR INSPECCION TECNICA DE DIFICIOS,28409.76,0.00,28409.76,8374.60
32200,LICENCIAS PRIMERA OCUPACION,30000.00,0.00,30000.00,14479.55
