#Fecha,Importe,Orgánica,Programa,Económica,Tercero,Nombre Ter.,Concepto
2017-01-31,541.16,0,011,31000,A39000013,BANCO SANTANDER SA,AMORTIZACION PRESTAMO PERIODO 31/10/2016 A 31/01/2017
2017-02-28,42188.90,0,011,31000,A14010342,ALTAE BANCO SA -BANKIA-,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,23246.30,0,011,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,6234.15,0,011,31000,A08000143,BANCO DE SABADELL SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,5160.32,0,011,31000,A08000143,BANCO DE SABADELL SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,19292.18,0,011,31000,A28000727,BANCO POPULAR ESPAÑOL SA,AMORTIZACION PRESTAMO PERIODO 29/11/2016 A 28/02/2016
2017-02-28,11278.67,0,011,31000,A39000013,BANCO SANTANDER SA,AMORTIZACION PRESTAMO PERIODO 29/11/2016 A 28/02/2017
2017-02-28,56404.81,0,011,31000,A39000013,BANCO SANTANDER SA,AMORTIZACION PRESTAMO PERIODO 29/11/2016 A 28/02/2017
2017-02-28,5821.18,0,011,31000,A28157360,BANKINTER SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,19419.00,0,011,31000,A08663619,CAIXABANK SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,6220.31,0,011,31000,F04743175,CAJAMAR RURALES UNIDAS SCC,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,19163.53,0,011,31000,A70302039,NCG BANCO SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-03-31,704.58,0,011,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION PRESTAMO PERIODO 01/01/2017 AL 31/03/2017
2017-03-31,48694.37,0,011,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,AMORTIZACION PRESTAMO ICO 2013 PERIODO 31/12/2016 A 30/03/2017
2017-05-29,40120.46,0,011,31000,A14010342,ALTAE BANCO SA -BANKIA-,AMORTIZACION Y LIQUIDACION DE INTERESES PERIODO 28/02/17 A 29/05/17
2017-05-29,22106.58,0,011,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION Y LIQUIDACION INTERESES PERIODO 01/03/2017 A 29/05/2017
2017-05-29,5928.50,0,011,31000,A08000143,BANCO DE SABADELL SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 28/02/17-29/05/17
2017-05-29,4907.32,0,011,31000,A08000143,BANCO DE SABADELL SA,AMORTIZACION Y LIQUIDACION INTERESES PERIODO 28/02/17 A 29/05/17
2017-05-29,18346.33,0,011,31000,A28000727,BANCO POPULAR ESPAÑOL SA,AMORTIZACION PRESTAMO Y LIQUIDACION INTERESES PERIODO 28/02/17 A 29/05/17
2017-05-29,53639.40,0,011,31000,A39000013,BANCO SANTANDER SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 28/02/17-29/05/17
2017-05-29,10725.70,0,011,31000,A39000013,BANCO SANTANDER SA,AMORTIZACION Y LIQUIDACION DE INTERESES PERIODO DEL 28/02/17 - 29/05/2017
2017-05-29,5535.78,0,011,31000,A28157360,BANKINTER SA,AMORTIZACION Y LIQUIDACION INTERESES PERIODO 28/02/2017 A 29/05/2017
2017-05-29,18466.92,0,011,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,AMORTIZACION Y LIQUIDACION DE INTERESES PERIODO 28/02/2017 A 29/05/2017
2017-05-29,5915.35,0,011,31000,F04001475,CAJAMAR CAJA RURAL SCC,AMORTIZACION Y LIQUIDACION DE INTERESES PERIODO 28/02/17 A 29/05/2017
2017-05-30,18223.98,0,011,31000,A70302039,NCG BANCO SA,AMORTIZACION TRIMESTRAL PRESTAMO ICO
2017-06-30,47477.01,0,011,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,AMORTIZACION Y LIQUIDACION DE INTERESES PERIODO 31/03/17 A 29/06/17
2017-01-31,5982.36,0,011,91100,A39000013,BANCO SANTANDER SA,AMORTIZACION PRESTAMO PERIODO 31/10/2016 A 31/01/2017
2017-02-28,489647.15,0,011,91100,A14010342,ALTAE BANCO SA -BANKIA-,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,269798.08,0,011,91100,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,72353.99,0,011,91100,A08000143,BANCO DE SABADELL SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,59891.03,0,011,91100,A08000143,BANCO DE SABADELL SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,223906.34,0,011,91100,A28000727,BANCO POPULAR ESPAÑOL SA,AMORTIZACION PRESTAMO PERIODO 29/11/2016 A 28/02/2016
2017-02-28,130900.96,0,011,91100,A39000013,BANCO SANTANDER SA,AMORTIZACION PRESTAMO PERIODO 29/11/2016 A 28/02/2017
2017-02-28,654638.03,0,011,91100,A39000013,BANCO SANTANDER SA,AMORTIZACION PRESTAMO PERIODO 29/11/2016 A 28/02/2017
2017-02-28,67560.98,0,011,91100,A28157360,BANKINTER SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,225378.18,0,011,91100,A08663619,CAIXABANK SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,72193.38,0,011,91100,F04743175,CAJAMAR RURALES UNIDAS SCC,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-02-28,222413.29,0,011,91100,A70302039,NCG BANCO SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 29/11/16-28/02/17
2017-03-31,537982.83,0,011,91100,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,AMORTIZACION PRESTAMO ICO 2013 PERIODO 31/12/2016 A 30/03/2017
2017-05-29,489647.15,0,011,91100,A14010342,ALTAE BANCO SA -BANKIA-,AMORTIZACION Y LIQUIDACION DE INTERESES PERIODO 28/02/17 A 29/05/17
2017-05-29,269798.08,0,011,91100,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION Y LIQUIDACION INTERESES PERIODO 01/03/2017 A 29/05/2017
2017-05-29,72353.99,0,011,91100,A08000143,BANCO DE SABADELL SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 28/02/17-29/05/17
2017-05-29,59891.03,0,011,91100,A08000143,BANCO DE SABADELL SA,AMORTIZACION Y LIQUIDACION INTERESES PERIODO 28/02/17 A 29/05/17
2017-05-29,223906.34,0,011,91100,A28000727,BANCO POPULAR ESPAÑOL SA,AMORTIZACION PRESTAMO Y LIQUIDACION INTERESES PERIODO 28/02/17 A 29/05/17
2017-05-29,654638.03,0,011,91100,A39000013,BANCO SANTANDER SA,AMORTIZACION CAPITAL Y LIQUIDACION INTERESES PERIODO 28/02/17-29/05/17
2017-05-29,130900.96,0,011,91100,A39000013,BANCO SANTANDER SA,AMORTIZACION Y LIQUIDACION DE INTERESES PERIODO DEL 28/02/17 - 29/05/2017
2017-05-29,67560.98,0,011,91100,A28157360,BANKINTER SA,AMORTIZACION Y LIQUIDACION INTERESES PERIODO 28/02/2017 A 29/05/2017
2017-05-29,225378.18,0,011,91100,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,AMORTIZACION Y LIQUIDACION DE INTERESES PERIODO 28/02/2017 A 29/05/2017
2017-05-29,72193.38,0,011,91100,F04001475,CAJAMAR CAJA RURAL SCC,AMORTIZACION Y LIQUIDACION DE INTERESES PERIODO 28/02/17 A 29/05/2017
2017-05-30,222413.29,0,011,91100,A70302039,NCG BANCO SA,AMORTIZACION TRIMESTRAL PRESTAMO ICO
